ticker,alt_data_score,sentiment_score,google_trend,satellite_signal
AAPL,0.4118561299171224,0.19022721075234938,47.59861366910754,0.41525379494241293
MSFT,0.36041149582629944,0.10934844763580837,53.18116472772438,0.4162815705682705
GOOGL,0.31730346612385885,0.05913212076436403,63.167899259513845,0.7762690170214296
AMZN,0.3939503760427012,-0.005699494242784153,52.49992799401897,0.5951417840621871
NVDA,0.5619441590644201,0.1188045940755596,43.20652833149063,0.8362232149528731
JPM,0.5531348676119856,-0.22613430229497722,58.31808943817917,0.7869432630210149
GS,0.685925247714966,0.15604846966562302,60.44290490360703,0.8246076003103633
BAC,0.4125163179287678,-0.023803735434823614,66.36218118840958,0.5364652786536034
JNJ,0.35908002461303956,-0.25761875567899417,62.734817258408896,0.41390175674811236
PFE,0.6293353707165162,-0.05490045051134118,56.84202145992957,0.6490185650751767
XOM,0.46539840020348056,0.08989946458033554,78.70550729242836,0.8135906260648678
CVX,0.5716440973724819,-0.03075583655448033,70.46352412711498,0.5175774784696745
